------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jul 17 14:42:45 2017)"
"Ions Flown Separately, Comp Quality(10)"
"Number of Ions to Fly = 100"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","YES","YES","YES","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","E","KE"

        86,         4,2.145426627,         5,         1,871.9999993,19.98691193,0.4304572482,-2100.000057,2339.728632
        87,         1,         0,         5,         1,119.9872993,-0.05871057965,-0.04554138539,240.4354518,2.982587194
        87,         4,2.143030608,         5,         1,871.9999994,-12.67682842,15.2675086,-2100.000047,2343.697695
        88,         1,         0,         5,         1,120.0872527,-0.2007120152,-0.1331238929,237.0084779,2.905467871
        88,         4,2.136721745,         5,         1,871.9999999,-14.0397048,6.188230704,-2100.000005,2339.411367
        89,         1,         0,         5,         1,120.1444202,-0.01549720089,0.2491435063,235.0484494,2.915635949
        89,         4,2.133026519,         5,         1,871.9999993,-0.3879092325,8.169389668,-2100.000049,2337.725325
        90,         1,         0,         5,         1,119.9602064,-0.000113800652,0.2184408214,241.3643527,2.916226265
        90,         4,2.13436763,         5,         1,871.9999996,-2.029649719,-12.79534959,-2100.000025,2344.583914
        91,         1,         0,         5,         1,120.0088235,-0.1218718649,-0.02518410446,239.6974809,2.906399299
        91,         4,2.137912099,         5,         1,871.9999996,8.707027559,14.50413672,-2100.00003,2342.585163
        92,         1,         0,         5,         1,120.071372,0.001744950405,-0.1505014082,237.5529593,3.177155873
        92,         4,2.140419842,         5,         1,871.9999991,19.29031696,-3.898858236,-2100.00007,2341.300883
        93,         1,         0,         5,         1,120.0927442,-0.07824744439,0.05352759908,236.8201981,2.912994208
        93,         4,2.13437605,         5,         1,871.9999998,-10.3056422,7.939546856,-2100.000016,2340.973535
        94,         1,         0,         5,         1,120.0035162,-0.01530402935,-0.1112713248,239.8794433,2.803892982
        94,         4,2.153778823,         5,         1,871.9999999,15.0318805,8.374858233,-2100.000009,2342.320484
        95,         1,         0,         5,         1,119.9907557,0.05589503096,-0.03637922753,240.3169479,2.920444457
        95,         4,2.132050435,         5,         1,871.9999999,-5.961787538,-4.570909605,-2100.000005,2343.969429
        96,         1,         0,         5,         1,119.9723948,0.05759523433,0.119898936,240.9464655,3.104951155
        96,         4,2.134193048,         5,         1,871.9999993,-7.205765446,-11.35103022,-2100.000049,2343.793815
        97,         1,         0,         5,         1,119.9595166,-0.007834317524,0.001258092157,241.3880006,2.945948775
        97,         4,2.132502242,         5,         1,871.9999992,7.395207777,4.383213181,-2100.000053,2344.248691
        98,         1,         0,         5,         1,119.9388282,-0.1146130048,0.06381182585, 242.09732,3.088953559
        98,         4,2.157903891,         5,         1,871.9999994,-5.890947927,-13.39956612,-2100.000047,2345.191877
        99,         1,         0,         5,         1,120.0273651,0.009421662544,-0.0421648607,239.0617687,2.901332188
        99,         4,2.14887804,         5,         1,871.9999995,15.17334697,12.17879495,-2100.000039,2342.181764
       100,         1,         0,         5,         1,119.9318114,-0.04932826245,-0.04454802916,242.3378944,3.090085794
       100,         4,2.132772302,         5,         1,871.9999999,-6.925971547,7.455095158,-2100.000005,2344.678979

